F1_0(HOUSE_CODE),F1_1_1(VISIT_NO),F1_1_3(FIELD_WORKER),F1_1_2(VISIT_DATETIME),F1_1_4(STATUS),F1_1_4_2(STATUS_OTHER),F1_1_5(RETURN_DATETIME),F1_1_6(PREVIOUS_CHILD_ID),F1_2(RANDOMIZATION_RESULT),F1_3(CHILDREN_COUNT_2ORLESS),F1_4(REFUSAL_REASON),REFUSAL_REASON_OTHER,F1_5(REVISIT),F1_6(COMMENT),DATE_CREATED
111-007-301,1,13,01-03-16,0,null,null,null,0,null,null,null,null,null,1/3/2016
111-007-302,1,13,01-03-16,0,null,null,null,0,null,null,null,null,null,1/3/2016
111-007-303,1,13,01-03-16,1,null,null,null,0,null,null,null,null,null,1/3/2016
111-007-304,1,13,01-03-16,0,null,null,null,0,null,null,null,null,null,1/3/2016
111-007-601,1,16,02-03-16,0,null,null,null,0,null,null,null,null,null,2/3/2016
111-007-401,1,14,02-03-16,0,null,null,null,0,null,null,null,null,null,2/3/2016
111-007-602,1,16,02-03-16,0,null,null,null,0,null,null,null,null,null,2/3/2016
111-007-305,1,13,01-03-16,0,null,null,null,0,null,null,null,null,null,1/3/2016
111-007-402,1,14,02-03-16,0,null,null,null,0,null,null,null,null,null,2/3/2016
111-007-603,1,16,02-03-16,0,null,null,null,0,null,null,null,null,null,2/3/2016
111-007-604,1,16,02-03-16,0,null,null,null,0,null,null,null,null,null,2/3/2016
111-007-605,1,16,02-03-16,0,null,null,null,0,null,null,null,null,null,2/3/2016
111-007-403,1,14,02-03-16,1,null,null,null,0,null,null,null,null,null,2/3/2016
111-007-306,1,13,01-03-16,2,null,8/3/2016,null,0,1,null,null,null,null,1/3/2016
111-007-501,1,15,01-03-16,1,null,null,null,0,null,null,null,null,null,1/3/2016
111-007-404,1,14,02-03-16,3,null,8/3/2016,null,0,1,null,null,null,null,2/3/2016
111-007-606,1,16,01-03-16,1,null,null,null,0,null,null,null,null,null,1/3/2016
111-007-405,1,14,01-03-16,0,null,null,null,0,null,null,null,null,null,1/3/2016
111-007-502,1,15,01-03-16,0,null,null,null,0,null,null,null,null,null,1/3/2016
111-007-503,1,15,01-03-16,0,null,null,null,0,null,null,null,null,null,1/3/2016
111-007-406,1,14,01-03-16,0,null,null,null,0,null,null,null,null,null,1/3/2016
111-007-504,1,15,01-03-16,0,null,null,null,0,null,null,null,null,null,1/3/2016
111-007-607,1,16,01-03-16,1,null,null,null,0,null,null,null,null,null,1/3/2016
111-007-407,1,14,01-03-16,0,null,null,null,0,null,null,null,null,null,1/3/2016
111-007-505,1,15,01-03-16,0,null,null,null,0,null,null,null,null,null,1/3/2016
111-007-506,1,15,01-03-16,0,null,null,null,0,null,null,null,null,null,1/3/2016
111-007-507,1,15,01-03-16,0,null,null,null,0,null,null,null,null,null,1/3/2016
111-007-306,2,13,12-03-16,1,null,null,null,0,null,null,null,null,null,12/3/2016
